"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555350731992","04/15/19  17:52:11.992   ","4.86","83.7","3.478","19.5","1.9","1.854","100","19.08","6.03","1.96","3.66","2.21","0.33","0.51","0.76","0.32","0.28","0.24","0","0","0.22","0","0.22","84.2","-95.1","-78.7","-28.5","82.3","-152.3","-39.8","95.4","-14.6","114.3","19.5","-54.9","29.9","0","133.1","0","0"
"1555350734157","04/15/19  17:52:14.157   ","4.94","83.5","3.454","18.8","1.9","1.837","100","17.75","4.3","0.82","3.58","2.06","0.95","0.77","0.58","0","0","0","0.23","0","0","0","0.22","82.4","-135.9","-59.7","79.6","82.4","-135.9","-59.7","79.6","-8.6","119.2","49.5","-41.7","34.6","82.9","153.4","-37.2","0"
"1555350735755","04/15/19  17:52:15.755   ","5.07","82.4","3.481","19.4","1.9","1.863","100","17.38","2.11","0.4","3.13","1.59","0.63","0.63","0","0.25","0","0","0","0","0","0","0","82.6","-170.8","-41","114.4","83.9","132.1","-60.5","129.5","-0.1","37","53.8","-129.3","-75.1","-9.8","0","-28.7","-41.5"
"1555350736777","04/15/19  17:52:16.777   ","5.13","84.4","3.512","18.9","1.9","1.848","100","17.89","4.83","1.11","3.61","2.21","0.91","0.75","0.56","0.25","0","0","0.24","0","0","0","0","83.2","-126","-74.4","0","84.4","118.5","-65.2","129.2","-1.8","26.9","36.2","-141.8","-86.8","-35.6","0","-48.6","-58.3"
"1555350737555","04/15/19  17:52:17.555   ","5.04","84.9","3.535","18.5","2","1.879","100","18.16","2.89","1.12","4.22","1.29","0.54","0.78","0.26","0","0.35","0.21","0","0","0","0","0","84.7","-34.7","-53.4","-59.7","84.7","-34.7","-53.4","-59.7","-7.2","-132.8","73","83.4","-86.4","-172.5","151.1","145.6","0"
"1555350738759","04/15/19  17:52:18.759   ","5.06","84.9","3.553","19.4","1.9","1.852","100","18.29","5.28","1.5","3.62","2.28","0.73","0.64","0.64","0.26","0.22","0.21","0.21","0","0","0","0","83.8","-115.5","-79","-9.2","83.3","-174.9","-40.3","115.3","-4","84.8","61","-69.6","-10.7","45.3","141","-18.5","0"
"1555350739768","04/15/19  17:52:19.768   ","5.1","84.4","3.581","19.9","1.9","1.853","100","17.52","3.27","0.54","3.31","1.78","0.55","0.69","0.49","0","0.23","0","0","0","0","0","0","83.3","-152.8","-40","94.8","84.1","150.4","-49.9","129.7","2.7","49.5","61.4","-102.8","-56.4","11.9","0","-34.1","-18.3"
"1555350740687","04/15/19  17:52:20.687   ","5.22","84","3.596","19.1","1.9","1.861","100","17.86","4.6","1.05","3.62","2.2","0.88","0.73","0.56","0.24","0.21","0","0.24","0","0","0","0","83.8","-132.3","-68.9","76","83.9","169","-43.7","124.7","2.3","63.3","75.5","-82.6","-31.6","25.5","0","-32.9","0"
"1555350742000","04/15/19  17:52:22.000   ","5.12","84.2","3.696","19.6","1.9","1.954","100","18.18","1.55","0.52","3.41","1.56","0.71","0.7","0","0","0","0","0","0","0","0","0.24","84.5","4.2","-34.2","-57.9","85.3","-53.1","-62.8","-65.1","-8.7","-146.3","38","53.5","-104.6","161.2","142","137.6","0"
"1555350743512","04/15/19  17:52:23.512   ","5.35","85","3.666","20","2","1.855","100","18.5","3.17","1.34","4.12","1.3","0.46","0.77","0","0","0.39","0.23","0","0","0","0","0","85.8","-42.7","-56.8","-60.2","85.2","-100.2","-76.4","-22.2","-12.7","174.6","42.6","-22","-147","120","-179.5","0","0"
"1555350744735","04/15/19  17:52:24.735   ","5.36","83.8","3.632","19.1","2.1","1.97","100","18.02","1.89","1.09","3.93","1.37","0.39","0.75","0.35","0.22","0.26","0","0","0","0","0","0","84.8","141.5","-53.9","127.1","85.2","83","-64.7","138.4","-8.6","8.3","9.5","165.6","-126.4","0","0","0","-99.4"
